Date,Open,High,Low,Close,Adj Close,Volume
2012-07-03,163.199997,165.609085,163.199997,163.899994,127.796593,2333198
2012-07-04,165.072723,165.800003,163.072723,164.090912,127.945450,1921650
2012-07-05,163.818176,167.800003,162.472733,167.436356,130.553955,2598199
2012-07-06,167.090912,170.899994,165.681824,170.036362,132.581238,3276536
2012-07-09,168.545456,171.409088,168.000000,169.054550,131.815704,2497125
2012-07-10,169.818176,171.727264,169.300003,171.372726,133.623230,2738405
2012-07-11,170.000000,170.872726,169.072723,170.354538,132.829330,2306270
2012-07-12,168.545456,170.000000,167.736359,168.727264,131.560501,2366242
2012-07-13,169.199997,170.272720,167.772720,168.372726,131.284058,1395965
2012-07-16,168.772720,169.763641,166.672729,167.172729,130.348389,4150931
2012-07-17,168.563629,169.418182,167.018188,167.845459,130.872955,2018972
2012-07-18,167.818176,171.090912,167.818176,170.490906,132.935654,3003153
2012-07-19,172.018188,173.927277,171.818176,172.736359,134.686478,2868827
2012-07-20,173.272720,173.818176,169.490906,170.000000,132.552902,1803383
2012-07-23,168.909088,169.072723,165.345459,165.899994,129.356033,1582377
2012-07-24,166.363632,167.618179,165.545456,166.554550,129.866409,1189297
2012-07-25,166.545456,167.618179,165.009094,166.945450,130.171188,1059942
2012-07-26,168.000000,168.181824,163.872726,164.890915,128.569214,2037941
2012-07-27,169.090912,172.500000,167.654541,168.763641,131.588867,4294261
2012-07-30,170.954544,176.336365,170.954544,175.327271,136.706680,5003217
2012-07-31,176.399994,176.945450,172.781815,174.681824,136.203430,5121544
2012-08-01,173.272720,175.445450,173.272720,174.363632,135.955322,1428107
2012-08-02,174.000000,175.136368,173.481812,174.309097,135.912796,2806039
2012-08-03,173.218185,173.218185,169.709091,170.854538,133.219193,4006919
2012-08-06,172.909088,174.518188,172.781815,173.454544,135.246460,2380019
2012-08-07,173.745453,177.636368,173.454544,177.054550,138.053482,4578854
2012-08-08,177.545456,178.181824,173.745453,174.181824,135.813553,1655455
2012-08-09,174.981812,176.945450,172.554550,173.281815,135.111786,1711379
2012-08-10,173.818176,174.800003,169.981812,173.572723,135.338623,3027452
2012-08-13,173.009094,173.572723,170.290909,172.654541,134.622696,1295936
2012-08-14,172.781815,176.890915,172.754547,176.199997,137.387161,2056911
2012-08-16,176.363632,177.463638,173.472733,173.909088,135.600891,1561647
2012-08-17,174.399994,176.163635,173.090912,174.854538,136.338089,1337808
2012-08-21,175.454544,177.818176,174.218185,177.090912,138.081818,1012246
2012-08-22,175.854538,178.500000,175.790909,177.009094,138.018021,1489844
2012-08-23,177.281815,179.736359,176.181824,176.936356,137.961334,2180595
2012-08-24,176.345459,176.654541,173.181824,173.763641,135.487473,1260753
2012-08-27,174.527267,174.527267,169.581818,170.081818,132.616684,1410666
2012-08-28,170.018188,170.890915,167.109085,167.654541,130.724075,1551648
2012-08-29,168.536362,169.454544,166.454544,166.781815,130.043594,1324795
2012-08-30,166.327271,167.972733,164.399994,166.854538,130.100311,1712386
2012-08-31,166.854538,167.818176,163.209091,165.327271,128.909454,2831064
2012-09-03,165.036362,166.472733,162.945450,164.263641,128.080124,1451504
2012-09-04,164.363632,166.327271,162.327271,165.818176,129.292236,1595060
2012-09-05,165.009094,165.454544,159.363632,159.918182,124.691856,3039464
2012-09-06,161.500000,164.163635,161.090912,162.890915,127.009781,1824030
2012-09-07,166.909088,171.090912,166.654541,170.518188,132.956909,4545337
2012-09-08,170.690903,171.490906,170.545456,171.081818,133.396408,134941
2012-09-10,171.636368,172.018188,168.427277,169.854538,132.439484,1421743
2012-09-11,169.090912,172.527267,168.745453,171.899994,134.034348,1366628
2012-09-12,172.590912,174.327271,171.027267,172.545456,134.537643,2218066
2012-09-13,173.781815,175.418182,173.636368,174.309097,135.912796,1501021
2012-09-14,179.290909,191.045456,179.272720,182.972733,142.668045,5029716
2012-09-17,186.745453,194.309097,186.745453,192.836365,150.358932,4961016
2012-09-18,190.909088,191.945450,189.290909,190.709091,148.700226,3288669
2012-09-20,187.454544,189.409088,185.127274,185.899994,144.950485,1346872
2012-09-21,187.090912,197.272720,187.090912,193.681824,151.018143,4083259
2012-09-24,192.781815,197.590912,192.436356,194.709091,151.819138,2927979
2012-09-25,195.454544,196.600006,193.090912,193.945450,151.223694,2580605
2012-09-26,193.818176,194.745453,191.572723,193.454544,150.840942,1561081
2012-09-27,194.000000,194.818176,191.281815,191.772720,149.529572,1343566
2012-09-28,193.818176,195.163635,191.609085,192.227264,149.884003,3052928
2012-10-01,192.363632,192.727264,190.154541,191.018188,148.941238,1749115
2012-10-03,191.581818,193.209091,190.036362,191.427277,149.260239,1606208
2012-10-04,192.527267,198.927277,192.381821,197.036362,153.633759,2296782
2012-10-05,199.454544,199.636368,191.518188,193.936356,151.216614,2731602
2012-10-08,194.563629,194.709091,190.763641,191.300003,149.160995,1045868
2012-10-09,192.745453,195.236359,192.281815,193.472733,150.855118,1016927
2012-10-10,192.036362,192.672729,190.609085,191.590912,149.387802,923741
2012-10-11,192.236359,194.018188,190.545456,192.418182,150.032867,3289802
2012-10-12,193.072723,193.272720,189.736359,190.063629,148.196960,1213365
2012-10-15,190.363632,192.163635,187.718185,191.472733,149.295670,1253718
2012-10-16,192.727264,193.181824,189.036362,189.463638,147.729141,1190100
2012-10-17,190.909088,191.818176,189.463638,190.827271,148.792389,823685
2012-10-18,191.454544,193.945450,191.181824,193.618179,150.968521,2692370
2012-10-19,193.090912,195.618179,190.909088,191.954544,149.671371,1497357
2012-10-22,191.636368,196.354538,191.272720,195.190903,152.194809,2531787
2012-10-23,196.272720,197.636368,194.927277,196.227264,153.002899,1019616
2012-10-25,194.381821,198.181824,194.381821,197.481812,153.981094,2051075
2012-10-29,196.163635,197.272720,193.336365,194.281815,151.485977,1683340
2012-10-30,194.727264,197.572723,187.854538,189.990906,148.140259,2643646
2012-10-31,190.000000,191.563629,188.381821,190.918182,148.863266,1124265
2012-11-01,191.272720,193.000000,190.063629,192.136368,149.813141,883266
2012-11-02,194.954544,196.872726,193.654541,196.218185,152.995804,986848
2012-11-05,195.800003,196.490906,194.027267,195.899994,152.747711,1072180
2012-11-06,194.600006,197.636368,194.281815,196.699997,153.371490,943403
2012-11-07,197.000000,199.909088,196.409088,198.590912,154.845886,4441733
2012-11-08,196.127274,196.818176,194.945450,195.645447,152.549240,924934
2012-11-09,196.181824,196.181824,191.854538,192.581818,150.160446,1062060
2012-11-11,null,null,null,null,null,null
2012-11-12,193.563629,194.672729,191.500000,192.727264,150.273865,1701441
2012-11-15,192.000000,192.345459,189.672729,191.709091,149.479965,616632
2012-11-16,191.218185,191.454544,185.818176,186.636368,145.524643,994333
2012-11-19,187.090912,187.872726,184.818176,186.000000,145.028458,806475
2012-11-20,187.272720,188.118179,184.581818,186.199997,145.184418,886363
2012-11-21,187.272720,190.363632,186.645447,189.772720,147.970108,1720625
2012-11-22,189.818176,191.527267,187.254547,187.809097,146.439041,1401113
2012-11-23,188.672729,188.745453,185.536362,186.427277,145.361603,2275486
2012-11-26,187.863632,188.181824,184.645447,185.190903,144.397568,4739641
